"";"id";"object";"predicate";"condition";"repetitions";"property";"class";"words";"characters";"tokens";"value"
"1";"VP01";"ball";"jump";"hol";2;"movement";"object";2;17;"w1";"Springeder"
"2";"VP01";"ball";"jump";"hol";2;"movement";"object";2;17;"w2";"Hase"
"3";"VP01";"bike";"big";"seq";1;"size";"object";2;16;"w1";"Großes"
"4";"VP01";"bike";"big";"seq";1;"size";"object";2;16;"w2";"Fahrrad"
"5";"VP01";"bike";"many";"hol";3;"number";"object";1;9;"w1";"Fahrrad"
"6";"VP01";"bike";"one";"seq";3;"number";"object";2;15;"w1";"Gutes"
"7";"VP01";"bike";"one";"seq";3;"number";"object";2;15;"w2";"Fahrrad"
"8";"VP01";"bike";"small";"hol";4;"size";"object";2;16;"w1";"Füße"
"9";"VP01";"bike";"small";"hol";4;"size";"object";2;16;"w2";"strampeln"
"10";"VP01";"cat";"jump";"seq";2;"movement";"animal";2;18;"w1";"springende"
"11";"VP01";"cat";"jump";"seq";2;"movement";"animal";2;18;"w2";"Katze"
"12";"VP01";"cat";"run";"hol";3;"movement";"animal";1;6;"w1";"hase"
"13";"VP01";"comb";"big";"seq";1;"size";"object";3;16;"w1";"Großes"
"14";"VP01";"comb";"big";"seq";1;"size";"object";3;16;"w2";"Kommen"
"15";"VP01";"comb";"many";"hol";2;"number";"object";2;17;"w1";"Fröhlicher"
"16";"VP01";"comb";"many";"hol";2;"number";"object";2;17;"w2";"Kamm"
"17";"VP01";"comb";"one";"seq";1;"number";"object";2;12;"w1";"Guter"
"18";"VP01";"comb";"one";"seq";1;"number";"object";2;12;"w2";"Kamm"
"19";"VP01";"comb";"small";"hol";1;"size";"object";1;8;"w1";"Keimen"
"20";"VP01";"duck";"big";"seq";1;"size";"animal";2;14;"w1";"Lange"
"21";"VP01";"duck";"big";"seq";1;"size";"animal";2;14;"w2";"Treppe"
"22";"VP01";"duck";"jump";"hol";3;"movement";"animal";1;6;"w1";"hase"
"23";"VP01";"duck";"many";"seq";1;"number";"animal";2;13;"w1";"Großer"
"24";"VP01";"duck";"many";"seq";1;"number";"animal";2;13;"w2";"Hase"
"25";"VP01";"duck";"one";"hol";2;"number";"animal";1;7;"w1";"Katze"
"26";"VP01";"duck";"run";"seq";1;"movement";"animal";2;17;"w1";"Rennender"
"27";"VP01";"duck";"run";"seq";1;"movement";"animal";2;17;"w2";"Vogel"
"28";"VP01";"duck";"small";"hol";4;"size";"animal";2;17;"w1";"Laufender"
"29";"VP01";"duck";"small";"hol";4;"size";"animal";2;17;"w2";"Vogel"
"30";"VP01";"elephant";"jump";"seq";1;"movement";"animal";2;21;"w1";"Springender"
"31";"VP01";"elephant";"jump";"seq";1;"movement";"animal";2;21;"w2";"Elefant"
"32";"VP01";"elephant";"run";"hol";1;"movement";"animal";2;19;"w1";"Rennender"
"33";"VP01";"elephant";"run";"hol";1;"movement";"animal";2;19;"w2";"Elefant"
"34";"VP01";"fork";"big";"seq";3;"size";"object";2;14;"w1";"Langes"
"35";"VP01";"fork";"big";"seq";3;"size";"object";2;14;"w2";"Essen"
"36";"VP01";"fork";"many";"hol";2;"number";"object";2;25;"w1";"Unterschiedliches"
"37";"VP01";"fork";"many";"hol";2;"number";"object";2;25;"w2";"Essen"
"38";"VP01";"fork";"one";"seq";4;"number";"object";4;31;"w1";"Gutes"
"39";"VP01";"fork";"one";"seq";4;"number";"object";4;31;"w2";"Schnick"
"40";"VP01";"fork";"one";"seq";4;"number";"object";4;31;"w3";"Schnack"
"41";"VP01";"fork";"one";"seq";4;"number";"object";4;31;"w4";"Schnuck"
"42";"VP01";"fork";"small";"hol";1;"size";"object";1;7;"w1";"Essen"
"43";"VP01";"hammer";"big";"seq";2;"size";"object";2;14;"w1";"Großes"
"44";"VP01";"hammer";"big";"seq";2;"size";"object";2;14;"w2";"Hauen"
"45";"VP01";"hammer";"many";"hol";2;"number";"object";1;19;"w1";"Schlagzeugspielen"
"46";"VP01";"hammer";"one";"seq";3;"number";"object";4;33;"w1";"Schnick"
"47";"VP01";"hammer";"one";"seq";3;"number";"object";4;33;"w2";"Schnack"
"48";"VP01";"hammer";"one";"seq";3;"number";"object";4;33;"w3";"Schnur"
"49";"VP01";"hammer";"one";"seq";3;"number";"object";4;33;"w4";"gewinnen"
"50";"VP01";"hammer";"small";"hol";4;"size";"object";1;10;"w1";"Stampfen"
"51";"VP01";"monkey";"jump";"seq";2;"movement";"animal";2;18;"w1";"springender"
"52";"VP01";"monkey";"jump";"seq";2;"movement";"animal";2;18;"w2";"Affe"
"53";"VP02";"ball";"jump";"seq";2;"movement";"object";2;18;"w1";"aufgehende"
"54";"VP02";"ball";"jump";"seq";2;"movement";"object";2;18;"w2";"Sonne"
"55";"VP02";"bike";"big";"hol";1;"size";"object";2;18;"w1";"matschige"
"56";"VP02";"bike";"big";"hol";1;"size";"object";2;18;"w2";"Straße"
"57";"VP02";"bike";"many";"seq";1;"number";"object";2;13;"w1";"offenes"
"58";"VP02";"bike";"many";"seq";1;"number";"object";2;13;"w2";"Tor"
"59";"VP02";"bike";"one";"hol";2;"number";"object";2;21;"w1";"startendes"
"60";"VP02";"bike";"one";"hol";2;"number";"object";2;21;"w2";"Motorrad"
"61";"VP02";"bike";"small";"seq";2;"size";"object";2;20;"w1";"ankommender"
"62";"VP02";"bike";"small";"seq";2;"size";"object";2;20;"w2";"Läufer"
"63";"VP02";"cat";"jump";"hol";2;"movement";"animal";2;22;"w1";"fliegender"
"64";"VP02";"cat";"jump";"hol";2;"movement";"animal";2;22;"w2";"Supermann"
"65";"VP02";"cat";"run";"seq";1;"movement";"animal";2;18;"w1";"rennender"
"66";"VP02";"cat";"run";"seq";1;"movement";"animal";2;18;"w2";"Frosch"
"67";"VP02";"comb";"big";"hol";1;"size";"object";2;14;"w1";"glatte"
"68";"VP02";"comb";"big";"hol";1;"size";"object";2;14;"w2";"Haare"
"69";"VP02";"comb";"many";"seq";2;"number";"object";2;19;"w1";"geputzter"
"70";"VP02";"comb";"many";"seq";2;"number";"object";2;19;"w2";"Spiegel"
"71";"VP02";"comb";"one";"hol";1;"number";"object";2;16;"w1";"gekämmte"
"72";"VP02";"comb";"one";"hol";1;"number";"object";2;16;"w2";"Haare"
"73";"VP02";"comb";"small";"seq";2;"size";"object";2;19;"w1";"Haargel"
"74";"VP02";"comb";"small";"seq";2;"size";"object";2;19;"w2";"auftragen"
"75";"VP02";"duck";"big";"hol";2;"size";"animal";2;16;"w1";"fliegende"
"76";"VP02";"duck";"big";"hol";2;"size";"animal";2;16;"w2";"Ente"
"77";"VP02";"duck";"jump";"seq";1;"movement";"animal";2;17;"w1";"landender"
"78";"VP02";"duck";"jump";"seq";1;"movement";"animal";2;17;"w2";"Vogel"
"79";"VP02";"duck";"many";"hol";1;"number";"animal";2;12;"w1";"müdes"
"80";"VP02";"duck";"many";"hol";1;"number";"animal";2;12;"w2";"Huhn"
"81";"VP02";"duck";"one";"seq";2;"number";"animal";2;12;"w1";"gutes"
"82";"VP02";"duck";"one";"seq";2;"number";"animal";2;12;"w2";"Huhn"
"83";"VP02";"duck";"run";"hol";2;"movement";"animal";2;19;"w1";"schwimmendes"
"84";"VP02";"duck";"run";"hol";2;"movement";"animal";2;19;"w2";"Tier"
"85";"VP02";"duck";"small";"seq";2;"size";"animal";2;20;"w1";"gebücktes"
"86";"VP02";"duck";"small";"seq";2;"size";"animal";2;20;"w2";"Raubtier"
"87";"VP02";"elephant";"jump";"hol";1;"movement";"animal";2;22;"w1";"springendes"
"88";"VP02";"elephant";"jump";"hol";1;"movement";"animal";2;22;"w2";"Elephant"
"89";"VP02";"elephant";"run";"seq";1;"movement";"animal";2;20;"w1";"rennender"
"90";"VP02";"elephant";"run";"seq";1;"movement";"animal";2;20;"w2";"Elephant"
"91";"VP02";"fork";"big";"hol";3;"size";"object";2;19;"w1";"gegessene"
"92";"VP02";"fork";"big";"hol";3;"size";"object";2;19;"w2";"Karotte"
"93";"VP02";"fork";"many";"seq";1;"number";"object";2;16;"w1";"volle"
"94";"VP02";"fork";"many";"seq";1;"number";"object";2;16;"w2";"Schüssel"
"95";"VP02";"fork";"one";"hol";2;"number";"object";2;16;"w1";"getunktes"
"96";"VP02";"fork";"one";"hol";2;"number";"object";2;16;"w2";"Brot"
"97";"VP02";"fork";"small";"seq";2;"size";"object";2;17;"w1";"verteiltes"
"98";"VP02";"fork";"small";"seq";2;"size";"object";2;17;"w2";"Brot"
"99";"VP02";"hammer";"big";"hol";1;"size";"object";2;21;"w1";"fressendes"
"100";"VP02";"hammer";"big";"hol";1;"size";"object";2;21;"w2";"Krokodil"
"101";"VP02";"hammer";"many";"seq";2;"number";"object";2;28;"w1";"enthusiastischer"
"102";"VP02";"hammer";"many";"seq";2;"number";"object";2;28;"w2";"Passagier"
"103";"VP02";"hammer";"one";"hol";1;"number";"object";2;22;"w1";"schuftender"
"104";"VP02";"hammer";"one";"hol";1;"number";"object";2;22;"w2";"Arbeiter"
"105";"VP02";"hammer";"small";"seq";2;"size";"object";2;17;"w1";"klopfendes"
"106";"VP02";"hammer";"small";"seq";2;"size";"object";2;17;"w2";"Herz"
"107";"VP02";"monkey";"jump";"hol";1;"movement";"animal";2;23;"w1";"springender"
"108";"VP02";"monkey";"jump";"hol";1;"movement";"animal";2;23;"w2";"Supermann"
"109";"VP03";"ball";"jump";"hol";3;"movement";"object";1;11;"w1";"Kaninchen"
"110";"VP03";"bike";"big";"seq";8;"size";"object";1;8;"w1";"Airbag"
"111";"VP03";"bike";"many";"hol";3;"number";"object";2;18;"w1";"springender"
"112";"VP03";"bike";"many";"hol";3;"number";"object";2;18;"w2";"Hase"
"113";"VP03";"bike";"one";"seq";4;"number";"object";1;9;"w1";"Fahrrad"
"114";"VP03";"bike";"small";"hol";2;"size";"object";1;14;"w1";"Liegefahrrad"
"115";"VP03";"cat";"jump";"seq";2;"movement";"animal";2;18;"w1";"springende"
"116";"VP03";"cat";"jump";"seq";2;"movement";"animal";2;18;"w2";"Katze"
"117";"VP03";"cat";"run";"hol";1;"movement";"animal";2;16;"w1";"hüpfender"
"118";"VP03";"cat";"run";"hol";1;"movement";"animal";2;16;"w2";"Hase"
"119";"VP03";"comb";"big";"seq";1;"size";"object";2;14;"w1";"große"
"120";"VP03";"comb";"big";"seq";1;"size";"object";2;14;"w2";"Bürste"
"121";"VP03";"comb";"many";"hol";2;"number";"object";1;12;"w1";"Haarbürste"
"122";"VP03";"comb";"one";"seq";3;"number";"object";1;12;"w1";"Haarbürste"
"123";"VP03";"comb";"small";"hol";2;"size";"object";1;12;"w1";"Haarbürste"
"124";"VP03";"duck";"big";"seq";1;"size";"animal";2;12;"w1";"großer"
"125";"VP03";"duck";"big";"seq";1;"size";"animal";2;12;"w2";"Ski"
"126";"VP03";"duck";"jump";"hol";2;"movement";"animal";1;6;"w1";"Hase"
"127";"VP03";"duck";"many";"seq";3;"number";"animal";2;18;"w1";"schwimmende"
"128";"VP03";"duck";"many";"seq";3;"number";"animal";2;18;"w2";"Ente"
"129";"VP03";"duck";"one";"hol";1;"number";"animal";1;7;"w1";"Katze"
"130";"VP03";"duck";"run";"seq";2;"movement";"animal";2;19;"w1";"schnatternde"
"131";"VP03";"duck";"run";"seq";2;"movement";"animal";2;19;"w2";"Gans"
"132";"VP03";"duck";"small";"hol";1;"size";"animal";2;15;"w1";"quakende"
"133";"VP03";"duck";"small";"hol";1;"size";"animal";2;15;"w2";"Ente"
"134";"VP03";"elephant";"jump";"seq";1;"movement";"animal";2;19;"w1";"hüpfender"
"135";"VP03";"elephant";"jump";"seq";1;"movement";"animal";2;19;"w2";"Elefant"
"136";"VP03";"elephant";"run";"hol";2;"movement";"animal";2;19;"w1";"laufender"
"137";"VP03";"elephant";"run";"hol";2;"movement";"animal";2;19;"w2";"Elefant"
"138";"VP03";"fork";"big";"seq";1;"size";"object";1;12;"w1";"Futtertrog"
"139";"VP03";"fork";"many";"hol";3;"number";"object";1;13;"w1";"Nussknacker"
"140";"VP03";"fork";"one";"seq";3;"number";"object";1;8;"w1";"Papier"
"141";"VP03";"fork";"small";"hol";8;"size";"object";1;8;"w1";"Löffel"
"142";"VP03";"hammer";"big";"seq";7;"size";"object";1;15;"w1";"Sprudelwasser"
"143";"VP03";"hammer";"many";"hol";2;"number";"object";1;9;"w1";"Trommel"
"144";"VP03";"hammer";"one";"seq";8;"number";"object";1;8;"w1";"Papier"
"145";"VP03";"hammer";"small";"hol";8;"size";"object";1;8;"w1";"Hammer"
"146";"VP03";"monkey";"jump";"seq";3;"movement";"animal";2;16;"w1";"hüpfender"
"147";"VP03";"monkey";"jump";"seq";3;"movement";"animal";2;16;"w2";"Affe"
"148";"VP04";"ball";"jump";"seq";7;"movement";"object";1;11;"w1";"Trampolin"
"149";"VP04";"bike";"big";"hol";1;"size";"object";1;11;"w1";"Radfahrer"
"150";"VP04";"bike";"many";"seq";7;"number";"object";1;5;"w1";"Tor"
"151";"VP04";"bike";"one";"hol";19;"number";"object";1;9;"w1";"Elefant"
"152";"VP04";"bike";"small";"seq";3;"size";"object";1;8;"w1";"Jogger"
"153";"VP04";"cat";"jump";"hol";1;"movement";"animal";1;10;"w1";"Superman"
"154";"VP04";"cat";"run";"seq";7;"movement";"animal";2;16;"w1";"laufender"
"155";"VP04";"cat";"run";"seq";7;"movement";"animal";2;16;"w2";"Hund"
"156";"VP04";"comb";"big";"hol";1;"size";"object";1;9;"w1";"Friseur"
"157";"VP04";"comb";"many";"seq";4;"number";"object";1;8;"w1";"Hammer"
"158";"VP04";"comb";"one";"hol";2;"number";"object";1;6;"w1";"Kamm"
"159";"VP04";"comb";"small";"seq";4;"size";"object";1;9;"w1";"Haargel"
"160";"VP04";"duck";"big";"hol";1;"size";"animal";2;17;"w1";"gackerndes"
"161";"VP04";"duck";"big";"hol";1;"size";"animal";2;17;"w2";"Huhn"
"162";"VP04";"duck";"jump";"seq";1;"movement";"animal";2;19;"w1";"springender"
"163";"VP04";"duck";"jump";"seq";1;"movement";"animal";2;19;"w2";"Vogel"
"164";"VP04";"duck";"many";"hol";2;"number";"animal";2;13;"w1";"tote"
"165";"VP04";"duck";"many";"hol";2;"number";"animal";2;13;"w2";"Hühner"
"166";"VP04";"duck";"one";"seq";1;"number";"animal";2;17;"w1";"gackerndes"
"167";"VP04";"duck";"one";"seq";1;"number";"animal";2;17;"w2";"Huhn"
"168";"VP04";"duck";"run";"hol";9;"movement";"animal";3;17;"w1";"laufende"
"169";"VP04";"duck";"run";"hol";9;"movement";"animal";3;17;"w2";"Enter"
"170";"VP04";"duck";"small";"seq";6;"size";"animal";1;7;"w1";"Tiger"
"171";"VP04";"elephant";"jump";"hol";1;"movement";"animal";2;21;"w1";"springender"
"172";"VP04";"elephant";"jump";"hol";1;"movement";"animal";2;21;"w2";"Elefant"
"173";"VP04";"elephant";"run";"seq";1;"movement";"animal";2;19;"w1";"rennender"
"174";"VP04";"elephant";"run";"seq";1;"movement";"animal";2;19;"w2";"Elefant"
"175";"VP04";"fork";"big";"hol";2;"size";"object";1;12;"w1";"Essenstopf"
"176";"VP04";"fork";"many";"seq";5;"number";"object";1;10;"w1";"Fastfood"
"177";"VP04";"fork";"one";"hol";2;"number";"object";2;16;"w1";"essender"
"178";"VP04";"fork";"one";"hol";2;"number";"object";2;16;"w2";"Junge"
"179";"VP04";"fork";"small";"seq";8;"size";"object";2;23;"w1";"aufgeschnittenes"
"180";"VP04";"fork";"small";"seq";8;"size";"object";2;23;"w2";"Brot"
"181";"VP04";"hammer";"big";"hol";2;"size";"object";1;10;"w1";"Schellen"
"182";"VP04";"hammer";"many";"seq";7;"number";"object";1;9;"w1";"Jackpot"
"183";"VP04";"hammer";"one";"hol";2;"number";"object";1;12;"w1";"Holzfäller"
"184";"VP04";"hammer";"small";"seq";12;"size";"object";2;20;"w1";"zerbrochene"
"185";"VP04";"hammer";"small";"seq";12;"size";"object";2;20;"w2";"Kugeln"
"186";"VP04";"monkey";"jump";"hol";2;"movement";"animal";2;21;"w1";"fliegender"
"187";"VP04";"monkey";"jump";"hol";2;"movement";"animal";2;21;"w2";"Superman"
"188";"VP05";"ball";"jump";"hol";1;"movement";"object";2;13;"w1";"Grashüpfer"
"189";"VP05";"bike";"big";"seq";3;"size";"object";2;16;"w1";"fahrendes"
"190";"VP05";"bike";"big";"seq";3;"size";"object";2;16;"w2";"Auto"
"191";"VP05";"bike";"many";"hol";4;"number";"object";3;21;"w1";"schnaubendes"
"192";"VP05";"bike";"many";"hol";4;"number";"object";3;21;"w2";"Pferd"
"193";"VP05";"bike";"one";"seq";1;"number";"object";1;15;"w1";"Fahrradfahrer"
"194";"VP05";"bike";"small";"hol";3;"size";"object";1;9;"w1";"Fahrrad"
"195";"VP05";"cat";"jump";"seq";1;"movement";"animal";2;8;"w1";"Katze"
"196";"VP05";"cat";"run";"hol";2;"movement";"animal";1;6;"w1";"Tier"
"197";"VP05";"comb";"big";"seq";11;"size";"object";3;18;"w1";"kämmende"
"198";"VP05";"comb";"big";"seq";11;"size";"object";3;18;"w2";"Person"
"199";"VP05";"comb";"many";"hol";1;"number";"object";2;15;"w1";"kämmende"
"200";"VP05";"comb";"many";"hol";1;"number";"object";2;15;"w2";"Frau"
"201";"VP05";"comb";"one";"seq";1;"number";"object";3;17;"w1";"kämmendes"
"202";"VP05";"comb";"one";"seq";1;"number";"object";3;17;"w2";"Kind"
"203";"VP05";"comb";"small";"hol";1;"size";"object";2;16;"w1";"kämmender"
"204";"VP05";"comb";"small";"hol";1;"size";"object";2;16;"w2";"Mann"
"205";"VP05";"duck";"big";"seq";4;"size";"animal";4;25;"w1";"dicke"
"206";"VP05";"duck";"big";"seq";4;"size";"animal";4;25;"w2";"Person"
"207";"VP05";"duck";"big";"seq";4;"size";"animal";4;25;"w3";"die"
"208";"VP05";"duck";"big";"seq";4;"size";"animal";4;25;"w4";"läuft"
"209";"VP05";"duck";"jump";"hol";1;"movement";"animal";2;10;"w1";"Känguru"
"210";"VP05";"duck";"many";"seq";6;"number";"animal";2;12;"w1";"Vogelpfau"
"211";"VP05";"duck";"one";"hol";4;"number";"animal";1;12;"w1";"Grashüpfer"
"212";"VP05";"duck";"run";"seq";1;"movement";"animal";3;16;"w1";"laufende"
"213";"VP05";"duck";"run";"seq";1;"movement";"animal";3;16;"w2";"Ente"
"214";"VP05";"duck";"small";"hol";3;"size";"animal";1;6;"w1";"Huhn"
"215";"VP05";"elephant";"jump";"seq";1;"movement";"animal";3;22;"w1";"springender"
"216";"VP05";"elephant";"jump";"seq";1;"movement";"animal";3;22;"w2";"Elefant"
"217";"VP05";"elephant";"run";"hol";1;"movement";"animal";3;20;"w1";"rennender"
"218";"VP05";"elephant";"run";"hol";1;"movement";"animal";3;20;"w2";"Elefant"
"219";"VP05";"fork";"big";"seq";2;"size";"object";1;13;"w1";"Kühlschrank"
"220";"VP05";"fork";"many";"hol";4;"number";"object";3;22;"w1";"Obst"
"221";"VP05";"fork";"many";"hol";4;"number";"object";3;22;"w2";"pflücken"
"222";"VP05";"fork";"many";"hol";4;"number";"object";3;22;"w3";"essen"
"223";"VP05";"fork";"one";"seq";6;"number";"object";1;5;"w1";"Lob"
"224";"VP05";"fork";"small";"hol";1;"size";"object";1;7;"w1";"Essen"
"225";"VP05";"hammer";"big";"seq";8;"size";"object";3;17;"w1";"ärgerndes"
"226";"VP05";"hammer";"big";"seq";8;"size";"object";3;17;"w2";"Kind"
"227";"VP05";"hammer";"many";"hol";2;"number";"object";2;11;"w1";"Trommler"
"228";"VP05";"hammer";"one";"seq";2;"number";"object";1;5;"w1";"Lob"
"229";"VP05";"hammer";"small";"hol";7;"size";"object";2;15;"w1";"gemolkene"
"230";"VP05";"hammer";"small";"hol";7;"size";"object";2;15;"w2";"Kuh"
"231";"VP05";"monkey";"jump";"seq";1;"movement";"animal";3;19;"w1";"springender"
"232";"VP05";"monkey";"jump";"seq";1;"movement";"animal";3;19;"w2";"Affe"
"233";"VP06";"ball";"jump";"seq";1;"movement";"object";1;14;"w1";"Springreifen"
"234";"VP06";"bike";"big";"hol";1;"size";"object";1;15;"w1";"Fahrradfahren"
"235";"VP06";"bike";"many";"seq";3;"number";"object";1;13;"w1";"Vogelstrauß"
"236";"VP06";"bike";"one";"hol";1;"number";"object";2;15;"w1";"Stufe"
